source,text,url,likes,shares,comments
5 dias,"Senadores postergan propuesta de exonerar el IVA a cooperativas - Diario 5diasEl pleno de la Cámara Alta resolvió postergar por 15 días el tratamiento del proyecto que busca modificar varios artículos de la ley de cooperativas. La moción fue del Senador Carlos Núñez, de manera a darle un mejor estudio.",www.facebook.com/182736288436188_1104022169640924,0,0,0
5 dias,"Diputados aprobaron el voto censura a Peralta - Diario 5diasEn la sesión ordinaria del día de ayer en la Cámara de Diputados, se emitió el voto de censura para Humberto Peralta, titular de la secretaría de la Función Pública (SFP). Se obtuvo un total de 55 votos a favor; siete votos en contra; una abstención; mientras que nueve legisladores no registraron el...",www.facebook.com/182736288436188_1104022102974264,0,0,0
5 dias,"Monalisa llega a Asunción con las marcas más sofisticadas del mundo - Diario 5dias http://www.5dias.com.py/46458-monalisa-llega-a-asuncion-con-las-marcas-mas-sofisticadas-del-mundoEl Diario con la mejor información económica, para lectores influyentes #Paraguay",www.facebook.com/182736288436188_1104000876309720,63,10,0
5 dias,"Paraguayos gastan 46 millones de guaraníes al día en kétchup - Diario 5dias http://www.5dias.com.py/46457-paraguayos-gastan-46-millones-de-guaranies-al-dia-en-ketchupUno de los aderezos bastante requeridos a la hora de acompañar varios platos es el kétchup, dicho condimento llegó a mover US$ 3 millones en lo que fue el 2015 según un estudio he¬cho por la consultora CCR, lo que por día significa en guaraníes 46 millones.",www.facebook.com/182736288436188_1103998839643257,4,1,0
5 dias,"Los pagos con tarjetas de crédito en tiendas se precipitaron 65% - Diario 5dias Los pagos con tarjetas de crédito en tiendas se precipitaron 65% http://www.5dias.com.py/46441-los-pagos-con-tarjetas-de-credito-en-tiendas-se-precipitaron-65Según datos proporcionados por Bancard, al comparar el semestre comprendido entre octubre-marzo del 2015-2016, contra octubre-marzo del 2014-2015 se puede observar una caída de las ventas/ingresos de ciertos comercios por un total de G. 384 mil millones, aproximadamente unos US$ 67.9 millones.",www.facebook.com/182736288436188_1103993639643777,5,5,3
5 dias,"COACHING EMPRESARIAL Y ORGANIZACIONAL - Diario 5dias DISCUTIR…¿ES POSITIVO O NEGATIVO EN LAS RELACIONES?Demasiadas veces el vocablo “discutir” se asocia con peleas, riñas y conflictos, y obviamente en éste contexto la discusión corre el riesgo de convertirse en factor que aleje y/o quiebre relaciones.",www.facebook.com/182736288436188_1103993359643805,2,5,0
5 dias,"Perspectivas turbias para el empleo - Diario 5dias Perspectivas turbias para el empleo http://www.5dias.com.py/46455-perspectivas-turbias-para-el-empleoSegún el informe, Para­guay ha subido la tasa de ocupación en 1,5% entre el 2005 y el 2014 para el área urbana, por otro lado cayó en 2,8 puntos porcentuales esta mis­ma tasa pero en el área rural.",www.facebook.com/182736288436188_1103993326310475,1,3,0
5 dias,"Odebrecht levanta carpas desilusionada con la APP - Diario 5dias Odebrecht levanta carpas desilusionada con la APP http://www.5dias.com.py/46444-odebrecht-levanta-carpas-desilusionada-con-la-appLa constructora involucrada en el vaciamiento de Petrobras había sido una de las primeras en prometer inversiones al Gobierno de Horacio Cartes. El motivo principal de su ida radica en el nulo avance en cuanto a proyectos en Alianza Público- Privada, señalaron fuentes ligadas a la firma.",www.facebook.com/182736288436188_1103992946310513,3,3,4
5 dias,"Duro revés del Mercosur por oferta europea que excluye carne del TLC - Diario 5dias""Esperar más de diez años por un TLC con Europa y que en la propuesta presentada no esté incluida la carne parece bastante difícil de asimilar’’.",www.facebook.com/182736288436188_1103989959644145,0,0,0
5 dias,"Parálisis de la economía ya se refleja en los salarios - Diario 5diasLos salarios del sector de la construcción, financieros y el de servicios fueron los que mayormente se han incrementado en el último año, en donde la comunicación es el que se encuentra más rezagado.",www.facebook.com/182736288436188_1103989569644184,18,17,2
5 dias,"Conozca las marcas mejor valuadas en el mundo - Diario 5dias Con un valor de US$ 154.100 millones, Apple se consolida como una firma clase A.Apple se vuelve a posicionar como la marca más valiosa del mundo por sexto año consecutivo, según el último informe presentado por Forbes.",www.facebook.com/182736288436188_1103989532977521,179,75,4
5 dias,"Odebrecht levanta carpas desilusionada con la APP - Diario 5dias http://www.5dias.com.py/46444-odebrecht-levanta-carpas-desilusionada-con-la-appLa constructora involucrada en el vaciamiento de Petrobras había sido una de las primeras en prometer inversiones al Gobierno de Horacio Cartes. El motivo principal de su ida radica en el nulo avance en cuanto a proyectos en Alianza Público- Privada, señalaron fuentes ligadas a la firma.",www.facebook.com/182736288436188_1103975199645621,4,5,1
5 dias,"Nueva subasta de Bonos de Hacienda - Diario 5diasUna nueva subasta de Bonos del Tesoro por 20.000 millones de gua­raníes realizará el Mi­nisterio de Hacienda el próximo martes 17 de mayo del corriente año, a través de la Bolsa de Valo­res y Productos de Asun­ción SA (Bvpasa).",www.facebook.com/182736288436188_1103974509645690,2,7,1
5 dias,"Embajada alemana se alista para mudarse a las torres de La Galería - Diario 5diasLuego de estar instala­dos durante 20 años en el mismo sitio, la Embajada de la República Federal de Alemania en el Para­guay, firmó un conve­nio con la empresa Blue Tower Paraguay y estará trasladando todas sus instalaciones a los pisos 20 y 21 de la torre uno del edificio corporativo del Paseo La…",www.facebook.com/182736288436188_1103973692979105,9,5,0
5 dias,"Paraguay tiene un volumen de oportunidades sin techo - Diario 5diasLa Embajada del Uruguay en el país impulsa con el apoyo del Club de Ejecutivos del Paraguay, alianzas comerciales entre empresas paraguayas y uruguayas.",www.facebook.com/182736288436188_1103971649645976,2,5,0
5 dias,Timeline Photos Así abre @5diaspy Viernes 13 de Mayo #Paraguay #MejorParaTodos,www.facebook.com/182736288436188_1103768662999608,9,8,2
5 dias,Ley de tarjetas esperan dictamen de diputados,www.facebook.com/182736288436188_1103658669677274,1,1,0
5 dias,Primera feria de empleo para trabajadores informales,www.facebook.com/182736288436188_1103656853010789,4,1,0
5 dias,Precio de soja tocó nivel más alto en año y medio,www.facebook.com/182736288436188_1103605999682541,1,0,0
5 dias,"""Trabajo planificado, ordenado, responsable y transparente"" - Diario 5diasSin distinción de rubro, dentro del organigrama de toda empresa, el gerente o director Comercial es siempre el máximo responsable del departamento Comercial. Obviamente, este depende directamente del director General de la compañía; pero, es quien se encarga de hacer cumplir las proyecciones y metas...",www.facebook.com/182736288436188_1103549733021501,11,5,1
5 dias,"Zara y Santander, entre las 100 marcas más valiosas del mundo http://www.expansion.com/empresas/2016/05/12/573447e0468aeb0e0a8b464b.htmlAmancio Ortega, el fundador de Inditex, no sólo puede presumir de figurar en el podio de los hombres más ricos del mundo, en el que se codea con...",www.facebook.com/182736288436188_1103450846364723,12,3,0
5 dias,"Precio de soja tocó nivel más alto en año y medio - Diario 5dias Se ajustó precio por toma de ganancias.La oleaginosa ajustó su precio por una toma de ganancias. Por su parte, los futuros del trigo tocaron su nivel más bajo en una década.",www.facebook.com/182736288436188_1103442566365551,10,9,0
5 dias,"Abril registró superávit de US$ 18 millones - Diario 5diasEn abril pasado, la Admi­nistración Central regis­tró un superávit mensual de 99,4 mil millones de guaraníes (alrededor de US$ 18 millones), superior en G. 71 mil millones a lo observado en el mismo mes del 2015, mientras que en el acumulado del año se observa un déficit de G. 349 mil millones, 18%…",www.facebook.com/182736288436188_1103442489698892,4,2,0
5 dias,"Quiniela arrasa en tributo para juegos de azar - Diario 5diasEntre todos los juegos de azar, la quiniela es la que arrasa en cuanto a tribu­to de acuerdo al informe emitido por la Comisión Nacional de Juegos de Azar (Conajzar).",www.facebook.com/182736288436188_1103442079698933,1,0,0
5 dias,Presentación oficial de la Expo 2016 y de la Rueda de Negocios - Diario 5dias Trigésima quinta edición de la tradicional fiesta del trabajo se presento ayer.La trigésimo quinta edición de la tradicional Expo fue presentada el día de ayer.,www.facebook.com/182736288436188_1103439186365889,2,1,0
5 dias,"Temer, el político discreto que quiso llegar a lo más alto - Diario 5diasEl ‘número dos’ de Rousseff prepara un Gabinete liberal en lo económico",www.facebook.com/182736288436188_1103438086365999,1,0,0
5 dias,"Maestras desmienten declaraciones y reafirman su cariño por el Paraguay - Diario 5dias Maestras comentaron que las entrevistas telefónicas surgieron a modo personal, luego del incendió que afecto a la institución tiempo atrás, y que el fin de las mismas era compartir relatos de la vida de un docente trabajando fuera de su país.Ante la publicación de un artículo periodístico realizado a docentes uruguayas que residen y ejercen su profesión en el país, conversaron con el diario 5días, a fin de desmentir parte del contenido seleccionado que les ha generado un profundo daño y expresar su indignación.",www.facebook.com/182736288436188_1103435499699591,1,3,0
5 dias,"La Ley de tarjetas espera dictamen - Diario 5dias El tratamiento del tema depende de diputadosEl proyecto de modificación de la ley que fija topes a las tasas de interés de las tarjetas de crédito fue el tema central de la Comisión de Asuntos Constitucionales, que preside el diputado Ramón Romero Roa. En la reunión de ayer estuvieron representantes del Banco Central del Paraguay (BCP), de la...",www.facebook.com/182736288436188_1103435119699629,5,6,0
5 dias,"Parque de Nieve en CDE genera gran expectativa - Diario 5dias¿Te gusta el frío? Ya tenés dónde estar en pleno día soleado. Ciudad del Este habilitará un increíble parque temático de hielo. Con una inversión aproxi­mada a los US$ 4 millones y 3.000 m², el Snow Park (Parque de Nieve) marca­rá un hito en el país con sus heladas instalaciones en el Shopping París...",www.facebook.com/182736288436188_1103430003033474,131,73,9
5 dias,"Brasil: aprobaron el impeachment contra Dilma y mercados espera cambios económicos - Diario 5dias http://www.5dias.com.py/46432-brasil-aprobaron-el-impeachment-contra-dilma-y-mercados-espera-cambios-economicosEl debate en el Congreso se extendió hasta la madrugada. El proceso durará 180 días. La destitución se aprobó con 55 votos a favor y 22 en contra. Ya con 41 votos, la mandataria quedaba suspendida de su cargo. El vicepresidente Michel Temer asumirá como presidente interino.",www.facebook.com/182736288436188_1103429549700186,4,5,0
5 dias,"Un lugar de recreación nocturna con la esencia y estilo oriental - Diario 5dias http://www.5dias.com.py/46431-un-lugar-de-recreacion-nocturna-con-la-esencia-y-estilo-orientalBambuddha Bar se encuentra presente hace varios años y, según comenta el gerente de dicho emprendimiento, Juan Racca, nace con el objetivo de brindar diversión a las personas que salen a despejarse, ya sea los fines de semana o después del trabajo.",www.facebook.com/182736288436188_1103427549700386,1,3,0
5 dias,"Seminario motivacional para mujeres ejecutivas - Diario 5dias http://www.5dias.com.py/46426-seminario-motivacional-para-mujeres-ejecutivas“Tomate un café contigo misma es tomate un descanso para ti, como una se siente en todas las áreas de su vida"".",www.facebook.com/182736288436188_1103427139700427,12,6,1
5 dias,"Precios de hoteles se disparan por la final de la Champions - Diario 5dias http://www.5dias.com.py/46420-precios-de-hoteles-se-disparan-por-la-final-de-la-championsLa ocupación de hoteles ya es del 94% para la final en el estadio de San Siro, según un análisis de Trivago. En cuanto a la disponibilidad, solo el 6% de hoteles ofrece habitaciones libres a través de Internet. Para la noche del 27 la disponibilidad es del 13%.",www.facebook.com/182736288436188_1103426926367115,8,3,0
5 dias,‘‘La Niña’’ podría agravar difícil coyuntura económica que vive la región - Diario 5dias ‘‘La Niña’’ podría agravar difícil coyuntura económica que vive la región http://www.5dias.com.py/46416-la-nina-podria-agravar-dificil-coyuntura-economica-que-vive-la-regionEl último informe de Itaú Macro Latam para el Paraguay indica que la economía del país se desacelera y esta situación podría agravarse si el fenómeno climático “La Niña” se materializa.,www.facebook.com/182736288436188_1103424863033988,16,13,0
5 dias,"Política de reducción de la pobreza arrojó mustio resultado - Diario 5dias Política de reducción de la pobreza arrojó mustio resultado http://www.5dias.com.py/46429-politica-de-reduccion-de-la-pobreza-arrojo-mustio-resultadoEl informe de pobreza presentado por la STP en las últimas semanas propone números que requieren de un análisis más incisivo que nos ex­plique, por ejemplo, que por cada pobre y pobre extremo el Estado invir­tió US$ 434 mensuales mediante transferencias monetarias con corres­ponsabilidad del progra­...",www.facebook.com/182736288436188_1103424639700677,2,3,0
5 dias,"Brasil: aprobaron el impeachment contra Dilma y mercados espera cambios económicos - Diario 5diasEl debate en el Congreso se extendió hasta la madrugada. El proceso durará 180 días. La destitución se aprobó con 55 votos a favor y 22 en contra. Ya con 41 votos, la mandataria quedaba suspendida de su cargo. El vicepresidente Michel Temer asumirá como presidente interino.",www.facebook.com/182736288436188_1103424623034012,0,0,0
5 dias,5días Especialista analiza aspectos incidentes en la estabilidad de la economía nacional,www.facebook.com/182736288436188_1103424309700710,0,2,0
5 dias,"Trabajo y alcohol: Si vino, se va - Diario 5dias En Paraguay está expresamente prohibido y es causal de despido justificado por parte del empleador, presentarse en el lugar de trabajo en estado de embriaguez o bajo el efecto de alguna droga o narcótico.Bebemos para festejar, para penar y por las dudas. No hay despedida, ni cita, ni cena, ni cuento bien contado, que no “exija” una copita. Asados, inauguraciones y almuerzos de negocios, de camaradería o familiares son ocasión, e incluso excusa, para “tomar algo”.",www.facebook.com/182736288436188_1103423429700798,11,9,1
5 dias,"Estudiantes de la FCE irán a West Virginia University - Diario 5dias http://www.5dias.com.py/46425-estudiantes-de-la-fce-iran-a-west-virginia-universityLa segunda etapa del proyecto “Emprendimientos Innovadores para la Movilidad Estudiantil en las Américas, 100.000 Strong’’ ha seleccionado un total de 6 estudiantes titulares para realizar el intercambio con la West Virginia University (WVU). Los mismos partirán rumbo a Estados Unidos el lunes 16 de...",www.facebook.com/182736288436188_1103419506367857,57,19,2
5 dias,"Feria de empleo para trabajadores informales - Diario 5dias http://www.5dias.com.py/46417-feria-de-empleo-para-trabajadores-informalesEl Ministerio de Trabajo, Empleo y Seguridad Social a través de la Oficina Nacional de Empleo con la Junta Municipal de Asunción organiza para el próximo viernes 13 de mayo, la primera feria de empleos para limpiavidrios y vendedores ambulantes en el Ex Seminario Metropolitano, actividad que arranca...",www.facebook.com/182736288436188_1103417619701379,4,7,1
5 dias,"Parate económico se refleja en fuerte caída del consumo - Diario 5dias Parate económico se refleja en fuerte caída del consumoLos centros comerciales, concesionarias de vehículos, casas de electrodomésticos, comercios dedicados a la venta de materiales de construcción y la telefonía registraron números rojos en el trimestre. Las familias están priorizando el gasto en lo esencial, es decir, básicamente para alimentación.",www.facebook.com/182736288436188_1103411919701949,1,3,0
5 dias,Timeline Photos Así abre @5diaspy Jueves 12 de mayo #Paraguay #MejorParaTodos,www.facebook.com/182736288436188_1103259013050573,15,5,1
5 dias,Sepa cuáles son los departamentos más prósperos de la República,www.facebook.com/182736288436188_1103089063067568,0,0,0
5 dias,"Tramo de la avenida Mariscal López permacerá cerrada por dos días - Diario 5dias La Empresa de Servicios Sanitarios del Paraguay continuará con la colocación de tuberías principales de alcantarillado de 250mm diámetro y a construcción de registros sanitarios, el jueves 12 y viernes 13 de mayo, sobre la avenida Mariscal López.La Empresa de Servicios Sanitarios del Paraguay continuará con la colocación de tuberías principales de alcantarillado de 250mm diámetro y a construcción de registros sanitarios, el jueves 12 y viernes 13 de mayo, sobre la avenida Mariscal López.",www.facebook.com/182736288436188_1103094473067027,2,1,2
5 dias,Fuerte caída de las exportaciones e importaciones,www.facebook.com/182736288436188_1103083819734759,1,2,0
5 dias,Acreedores toman control de constructora de súperviaducto,www.facebook.com/182736288436188_1103062546403553,0,3,1
5 dias,Base fundamental del proyecto educativo,www.facebook.com/182736288436188_1102915256418282,910,1010,53
5 dias,"Hacienda presenta incremento marginal en gastos - Diario 5diasAl primer cuatrimestre del año, la administra­ción central ha destinado al pago de salarios para el personal público la suma de G. 4,2 billones (US$ 755 millones), que compara­do con lo ejecutado en el mismo período del 2015 presenta un incremento del orden del 0,6%, según lo emitido por el portal d...",www.facebook.com/182736288436188_1102896286420179,1,10,0
5 dias,"Sanatario Británico inauguró ayer sus nuevas instalaciones - Diario 5diasEn la noche de ayer se realizó la inauguración del Sanatorio Británico, ex Sanatorio Santa Clara, con el fin de dar a cono­cer las remodelaciones e inversiones realizadas al lugar, situado sobre Gas­par Rodríguez de Francia y Parapití en la ciudad de Asunción.",www.facebook.com/182736288436188_1102895729753568,30,13,0
5 dias,"Congreso decide hoy la suerte de Dilma Rousseff - Diario 5dias http://www.5dias.com.py/46412-congreso-decide-hoy-la-suerte-de-dilma-rousseffLas horas están contadas para la presidenta brasileña Dilma Rousseff, ya que si hoy el pleno del Senado aprueba por mayoría simple, es decir, si 54 de los 82 senadores votan a favor que se inicie el ‘impeachment’ se le apartaría automáticamente del cargo durante los 180 días que dura el proceso, asu...",www.facebook.com/182736288436188_1102894619753679,1,3,0
5 dias,"Otorgarán créditos blandos para empresas que generen nuevos empleos - Diario 5dias http://www.5dias.com.py/46411-otorgaran-creditos-blandos-para-empresas-que-generen-nuevos-empleosEl Banco Nacional de Fomento lanzará créditos blandos para aquellas empresas que generen desde 5 nuevos empleos a partir del préstamo realizado. La nueva metodología para apoyar la fuente de trabajo es una propuesta generada con la colaboración del Ministerio del Trabajo, Empleo y Seguridad Social y...",www.facebook.com/182736288436188_1102894366420371,22,18,1
5 dias,"Hilton marca el inicio de la reconversión del este - Diario 5dias http://www.5dias.com.py/46405-hilton-marca-el-inicio-de-la-reconversion-del-esteEl mayor atractivo del complejo Noray Tower en Ciudad del Este será la presencia de una de los nombres rutilantes de la hotelería mundial, el Hotel Hilton Garden Inn, de la mayor cadena hotelera del mundo. El inicio de la construcción está previsto para el segundo semestre del año y cubrirá 7.500 me...",www.facebook.com/182736288436188_1102883443088130,122,116,2
5 dias,"Maestra desmiente declaraciones - Diario 5diasAnte la publicación del Observador de Uruguay, sobre las declaraciones realizadas por las docentes uruguayas que residen y ejercen su profesión en el país, la directora de la escuela “Solar Artigas”, Daniela Devincenzi conversó con el diario 5días a fin de desmentir lo expuesto y expresar su indigna...",www.facebook.com/182736288436188_1102881443088330,0,0,0
5 dias,"Revitalización de ciudades: Dinamización económica y social - Diario 5diasLos centros históricos de las ciudades son el espejo del país al que pertenecen. Es por ello que en las últimas décadas varios países latinoamericanos han iniciado procesos de revitalización de las ciudades emblemáticas; procesos que, si bien requieren de altas inversiones, con una planificación ade...",www.facebook.com/182736288436188_1102881079755033,2,1,0
5 dias,"Paraguay posee atractivos pero nadie los conoce - Diario 5dias CEO y socio fundador de la consultora, José Felix TorresTorres brindó una entre­vista al diario 5días donde resalta los puntos clave para fortalecer su imagen en el exterior y lograr esca­lar en el ránking.Ante los resultados obte­nidos por el Paraguay en el último informe realizado por la consultora Bloom, denominado “Digital Coun­try Index 16”, en donde el país ocupa la última colo­cación del ránking regional, el CEO y socio fundador de la consultora, José Felix Torres, arribó al país para dar a con...",www.facebook.com/182736288436188_1102880706421737,11,6,0
5 dias,"Peña aceptó el puesto de riesgo del Paraguay - Diario 5dias Ránking posiciona al país en sexto puestoEl ministro de Hacienda, Santiago Peña, se refirió al informe de riesgo país, aceptó la posición que tie­ne Paraguay en compara­ción con los demás países de América Latina.",www.facebook.com/182736288436188_1102879046421903,6,6,1
5 dias,"Se disparan los precios para ver la final de la Champions League - Diario 5diasLa final de la Champions League es uno de los eventos más importantes para los fanáticos del fútbol de todo el mundo. Es por eso que las entradas para asistir al partido a disputarse en Milán el día 28 de mayo entre el Real Madrid y el Atlético de Madrid, se encuentran a precios elevadísimos.",www.facebook.com/182736288436188_1102875293088945,1,0,0
5 dias,"Cocineros ponen el ingrediente que faltaba a la televisión paraguaya - Diario 5diasLos programas matutinos de la televisión paraguaya, en su gran mayoría apuestan a un segmento exclusivo de cocina. En el mismo, los cocineros se vuelven protagonistas.",www.facebook.com/182736288436188_1102875239755617,1,2,0
5 dias,El departamento más próspero es Presidente Hayes - Diario 5dias El departamento más próspero es Presidente Hayes http://www.5dias.com.py/46394-el-departamento-mas-prospero-es-presidente-hayesAl medir la tasa de pros­peridad se toman en con­sideración los departa­mentos con menor nivel de pobreza y con un mayor impacto a la eliminación de esta problemática so­cial.,www.facebook.com/182736288436188_1102873773089097,6,7,0
5 dias,"Paraguayos gastaron 17% más en compras con tarjeta en el extranjero - Diario 5dias Paraguayos gastaron 17% más en compras con tarjeta en el extranjero http://www.5dias.com.py/46397-paraguayos-gastaron-17-mas-en-compras-con-tarjeta-en-el-extranjeroSegún datos proporcio­nados por Bancard, en el primer cuatrimestre del 2016 se registraron tran­sacciones con tarjeta de crédito en 133 países del mundo por un total de G. 250 mil millones (US$ 45 millones), esto implica un crecimiento del 17% en relación al primer cuatri­mestre del año pasado.",www.facebook.com/182736288436188_1102872723089202,3,5,0
5 dias,"Fuerte caída de las exportaciones e importaciones - Diario 5dias Fuerte caída de las exportaciones e importaciones http://www.5dias.com.py/46384-fuerte-caida-de-las-exportaciones-e-importacionesEl año ha tenido un lento comienzo en cuanto a lo económico y esto tuvo su repercusión en el nivel de las exportaciones e importaciones del país, donde se registraron contracciones en relación al primer cuatrimestre del 2015, según los indican las cifras del comercio exterior presentadas ayer por el...",www.facebook.com/182736288436188_1102871469755994,0,0,0
5 dias,"Banca española toma el control de la constructora del súperviaducto. - Diario 5diasMientras la empresa multinacional abocada principalmente al rubro de la construcción, Isolux Corsán, está siendo rees­tructurada por deuda fi­nanciera existente -que a la fecha suman unos US$ 850 millones-, el control de la compañía fue tomado por la banca.",www.facebook.com/182736288436188_1102864856423322,4,4,0
5 dias,"Conozca las consecuencias del mal uso de las tarjetas de crédito - Diario 5diasUna de las cosas que hay que aprender a diferen­ciar como reflejo de una buena salud financiera y, por supuesto, para evitar caer en problemas finan­cieros graves son: las tar­jetas de débito y crédito.",www.facebook.com/182736288436188_1102853376424470,22,29,2
5 dias,Timeline Photos Así abre @5diaspy Miercoles 11 de Mayo #Paraguay #MejorParaTodos,www.facebook.com/182736288436188_1102653643111110,32,14,0
5 dias,Las vaquillas paraguayas volaron rumbo a Ecuador,www.facebook.com/182736288436188_1102546046455203,0,0,0
5 dias,Ránking riesgo país América Latina,www.facebook.com/182736288436188_1102544353122039,1,2,0
5 dias,Casas de bolsa con mayor volumen negociado en el año,www.facebook.com/182736288436188_1102456439797497,2,2,0
5 dias,"Políticos apuestan por Riera y esperan un buen desempeño - Diario 5diasCon el reemplazo de Marta Lafuente y el nom­bramiento de Enrique Riera como ministro de Educación, varios legisla­dores se mostraron opti­mistas y confiados en que la gestión del ex Titular del Consejo de la Magis­tratura al frente de la car­tera en cuestión podrá ser importante.",www.facebook.com/182736288436188_1102368249806316,2,0,0
5 dias,"Maquiladora paraguaya, premiada por su calidad - Diario 5diasEl día de ayer Blue Design SAE (BDA) recibió en la capital de la moda mundial el trofeo internacional a la calidad. Esta distinción la otorga el Global Trade Leaders Club, entidad que nuclea a más de 7.500 socios en 90 países.",www.facebook.com/182736288436188_1102368153139659,19,17,0
5 dias,"Alemanes podrán degustar carne paraguaya hecha por Asado Benítez - Diario 5dias http://www.5dias.com.py/46381-alemanes-podran-degustar-carne-paraguaya-hecha-por-asado-benitezEl 12 de mayo se reali­zará en la ciudad de Berlín, Alemania, la “Degustación de la Carne Paraguaya”. Una iniciativa que es liderada por la Embajada del Paraguay en dicho país.",www.facebook.com/182736288436188_1102364023140072,37,9,1
5 dias,"Diario 5días on Twitter https://twitter.com/5diasPY/status/730032237475926016“""MARKETING ESTRATÉGICO PARA HACER CRECER EMPRESAS"" #5business #WORKSHOP”",www.facebook.com/182736288436188_1102338949809246,7,9,0
5 dias,"Modificación del proyecto metrobús genera interrogantes - Diario 5diasEl Ministro de Obras Públicas y Comunicaciones, Ramón Jiménez Gaona, para justificar que el Metrobús será a gasoil señaló que “el espíritu del proyecto Metrobús es que el mismo sea a energía eléctrica, pero esta tecnología es aún experimental y un bus eléctrico, así como el mantenimiento, cuesta cua...",www.facebook.com/182736288436188_1102297963146678,3,2,1
5 dias,"Fuente Shopping ultima detalles para la apertura - Diario 5diasEl emprendimiento impulsado por el grupo Salemma, denominado “Fuente Shopping” se encuentra en la etapa final de la construcción, y esperan realizar la apertura oficial para octubre de este año.",www.facebook.com/182736288436188_1102297456480062,21,40,2
5 dias,"El 70% de las personas no está de acuerdo con el nombramiento - Diario 5dias http://www.5dias.com.py/46380-el-70-de-las-personas-no-esta-de-acuerdo-con-el-nombramientoEl Diario con la mejor información económica, para lectores influyentes #Paraguay",www.facebook.com/182736288436188_1102296293146845,5,4,1
5 dias,"FMI: Informe con elogios y advertencias - Diario 5dias“Seguir mejorando la supervisión y la capacidad de análisis” es una recomendación que el fondo hace al BCP para evitar posibles futuros cimbronazos en el sistema bancario que, aunque “sólido” como expresa el informe, no deja de estar expuesto a peligros que, por acción u omisión, generen los control...",www.facebook.com/182736288436188_1102295376480270,1,4,0
5 dias,"Argentinos cruzan la frontera para llenar el tanque de sus vehículos en Paraguay - Diario 5diasEl fin de semana corrió por las redes sociales una postal donde se observan largas hileras de vehí­culos argentinos, cuyos conductores debieron so­portar tediosas esperas de hasta cuatro horas y filas de hasta 10 kilóme­tros para completar el cruce desde la ciudad de Posadas hasta Encarna­ción, con…",www.facebook.com/182736288436188_1102294343147040,34,35,4
